factor	dataset_name	dataset_id
AHA-1	AHA-1-eGFP-L1,AHA-1-eGFP-L4	ENCFF361HZM,ENCFF881WYN
AHR-1	AHR-1-eGFP-LE	ENCFF087WSU
ALR-1	ALR-1-eGFP-L2	ENCFF139HMD
ALY-1	ALY-1-eGFP-EE	ENCFF909XOZ
ALY-2	ALY-2-eGFP-L1	ENCFF937UBT
ATF-7	ATF-7-eGFP-YA	ENCFF212MEB
ATHP-1	ATHP-1-eGFP-YA	ENCFF436JEN
ATTF-4	ATTF-4-eGFP-L4	ENCFF467CCL
B0035.1	B0035.1-eGFP-YA	ENCFF089DFK
B0261.1	B0261.1-eGFP-YA	ENCFF745PSX
BLMP-1	BLMP-1-eGFP-L2	ENCFF697TST
C04F5.9	C04F5.9-eGFP-L1	ENCFF572WTQ
C16A3.4	C16A3.4-eGFP-L1	ENCFF619QGW
C34F6.9	C34F6.9-eGFP-L2	ENCFF924PDV
CEBP-1	CEBP-1-eGFP-YA	ENCFF560LKI
CEH-14	CEH-14-eGFP-LE	ENCFF291YBB
CEH-16	CEH-16-eGFP-L3	ENCFF733LRY
CEH-18	CEH-18-eGFP-LE	ENCFF152SHQ
CEH-22	CEH-22-eGFP-LE	ENCFF316OWS
CEH-24	CEH-24-eGFP-LE	ENCFF657BBR
CEH-28	CEH-28-eGFP-L3	ENCFF889FUA
CEH-2	CEH-2-eGFP-LE	ENCFF653DSM
CEH-30	CEH-30-eGFP-LE	ENCFF832YFS
CEH-31	CEH-31-eGFP-LE	ENCFF173JDP
CEH-32	CEH-32-eGFP-L4	ENCFF103UJM
CEH-34	CEH-34-eGFP-LE	ENCFF617AXN
CEH-36	CEH-36-eGFP-EE	ENCFF695RFQ
CEH-48	CEH-48-eGFP-LE	ENCFF959BWK
CEH-62	CEH-62-eGFP-L4	ENCFF670IKF
CEH-79	CEH-79-eGFP-YA	ENCFF895DFI
CEH-82	CEH-82-eGFP-L1,CEH-82-eGFP-L3,CEH-82-eGFP-L4	ENCFF319HUE,ENCFF374RFC,ENCFF022QHO
CEH-90	CEH-90-eGFP-L1	ENCFF962MKF
CEH-9	CEH-9-eGFP-L3,CEH-9-eGFP-LE	ENCFF747NTR,ENCFF538CTP
CES-1	CES-1-eGFP-L1,CES-1-eGFP-MxE	ENCFF516OOZ,ENCFF535USR
CHE-1	CHE-1-eGFP-LE	ENCFF968PXD
COG-1	COG-1-eGFP-ME	ENCFF072GCD
CRH-2	CRH-2-eGFP-L2	ENCFF802OAR
DAF-12	DAF-12-eGFP-L4	ENCFF198DVG
DAF-16	DAF-16-eGFP-L4,DAF-16-eGFP-L4,DAF-16-eGFP-L4	ENCFF077SWM,ENCFF181GRV,ENCFF902RSH
DAO-5	DAO-5-eGFP-L4-YA	ENCFF266UTB
DIE-1	DIE-1-eGFP-YA	ENCFF213GLR
DMD-4	DMD-4-eGFP-L2	ENCFF699IAU
DPFF-1	DPFF-1-eGFP-YA	ENCFF576ETS
DPL-1	DPL-1-eGFP-L1	ENCFF761MZL
DSC-1	DSC-1-eGFP-L1	ENCFF566SHR
DUXL-1	DUXL-1-eGFP-L4	ENCFF362YDG
DVE-1	DVE-1-eGFP-L4	ENCFF293RWG
EFL-1	EFL-1-eGFP-L1,EFL-1-eGFP-YA,EFL-1-L1	ENCFF837XMX,ENCFF456YBJ,ENCFF281SNK
EGL-13	EGL-13-eGFP-L1	ENCFF836MGF
EGL-5	EGL-5-eGFP-L3	ENCFF972SHY
ELT-1	ELT-1-eGFP-L3	ENCFF234XPL
