file1	file2	avg	std
dnase_wt_emb_rep1_2.5U_ml.read1.fastq.gz	dnase_wt_emb_rep1_2.5U_ml.read2.fastq.gz	146	49
dnase_wt_emb_rep1_5U_ml.read1.fastq.gz	dnase_wt_emb_rep1_5U_ml.read2.fastq.gz	145	39
dnase_wt_emb_rep1_10U_ml.read1.fastq.gz	dnase_wt_emb_rep1_10U_ml.read2.fastq.gz	130	39
dnase_wt_emb_rep1_25U_ml.read1.fastq.gz	dnase_wt_emb_rep1_25U_ml.read2.fastq.gz	136	41
dnase_wt_emb_rep1_50U_ml.read1.fastq.gz	dnase_wt_emb_rep1_50U_ml.read2.fastq.gz	145	40
dnase_wt_emb_rep1_100U_ml.read1.fastq.gz	dnase_wt_emb_rep1_100U_ml.read2.fastq.gz	139	33
dnase_wt_emb_rep1_200U_ml.read1.fastq.gz	dnase_wt_emb_rep1_200U_ml.read2.fastq.gz	140	32
dnase_wt_emb_rep1_400U_ml.read1.fastq.gz	dnase_wt_emb_rep1_400U_ml.read2.fastq.gz	134	33
dnase_wt_emb_rep1_800U_ml.read1.fastq.gz	dnase_wt_emb_rep1_800U_ml.read2.fastq.gz	136	37
dnase_wt_emb_rep2_2.5U_ml.read1.fastq.gz	dnase_wt_emb_rep2_2.5U_ml.read2.fastq.gz	133	37
dnase_wt_emb_rep2_5U_ml.read1.fastq.gz	dnase_wt_emb_rep2_5U_ml.read2.fastq.gz	148	43
dnase_wt_emb_rep2_10U_ml.read1.fastq.gz	dnase_wt_emb_rep2_10U_ml.read2.fastq.gz	134	29
dnase_wt_emb_rep2_25U_ml.read1.fastq.gz	dnase_wt_emb_rep2_25U_ml.read2.fastq.gz	131	27
dnase_wt_emb_rep2_50U_ml.read1.fastq.gz	dnase_wt_emb_rep2_50U_ml.read2.fastq.gz	135	37
dnase_wt_emb_rep2_100U_ml.read1.fastq.gz	dnase_wt_emb_rep2_100U_ml.read2.fastq.gz	131	27
dnase_wt_emb_rep2_200U_ml.read1.fastq.gz	dnase_wt_emb_rep2_200U_ml.read2.fastq.gz	181	36
dnase_wt_emb_rep2_400U_ml.read1.fastq.gz	dnase_wt_emb_rep2_400U_ml.read2.fastq.gz	160	40
dnase_wt_emb_rep2_800U_ml.read1.fastq.gz	dnase_wt_emb_rep2_800U_ml.read2.fastq.gz	127	25
